1000	90000.0
389	408	157
390	473	233
391	317	215
392	370	208
393	441	296
394	326	385
395	443	266
396	442	110
397	131	492
398	434	150
399	237	169
400	133	363
401	253	164
402	312	125
403	164	421
404	129	296
405	168	485
406	205	283
407	415	437
408	261	169
409	395	496
410	141	379
411	265	455
412	460	248
413	316	393
414	133	333
415	172	345
416	212	293
417	363	193
418	356	174
419	201	225
420	392	466
421	495	126
422	237	388
423	431	237
424	287	363
425	481	387
426	342	431
427	324	198
428	305	176
429	422	365
430	147	476
431	128	285
432	146	107
433	421	411
434	191	334
435	272	447
436	362	218
437	429	443
438	332	422
439	436	326
440	465	242
441	181	250
442	341	117
443	465	371
444	106	170
445	449	409
446	413	191
447	187	118
448	317	493
449	123	457
450	401	428
451	117	139
452	286	334
453	155	250
454	353	138
455	313	216
456	100	170
457	266	137
458	165	494
459	350	450
460	319	346
461	459	491
462	332	143
463	289	466
464	187	291
465	236	411
466	202	487
467	211	411
468	385	253
469	163	360
470	311	243
471	380	323
472	305	243
473	479	335
474	228	281
475	210	145
476	352	218
477	382	128
478	263	169
479	308	389
480	261	391
481	124	305
482	269	402
483	355	307
484	136	282
485	106	219
486	106	363
487	111	169
488	190	433
489	118	324
490	396	173
491	496	328
492	496	362
493	336	484
494	308	301
495	225	247
496	137	102
497	196	139
498	451	465
499	381	381
500	454	302
501	166	250
502	171	313
503	163	286
504	377	413
505	333	251
506	353	425
507	420	457
508	356	166
509	232	147
510	413	286
511	406	245
512	261	448
513	434	396
514	387	416
515	149	375
516	366	176
517	110	288
518	211	276
519	500	216
520	202	297
521	500	489
522	474	146
523	213	102
524	182	496
525	285	234
526	153	406
527	367	286
528	186	339
529	231	252
530	226	189
531	448	198
532	200	258
533	459	121
534	449	264
535	212	212
536	222	268
537	312	100
538	387	305
539	269	177
540	299	446
541	431	367
542	234	398
543	455	324
544	122	465
545	331	300
546	246	358
547	386	198
548	461	402
549	136	132
550	163	497
551	247	241
552	417	315
553	372	205
554	445	419
555	394	262
556	231	204
557	232	370
558	474	479
559	421	416
560	197	472
561	461	154
562	164	280
563	101	344
564	404	269
565	246	434
566	338	266
567	227	288
568	497	463
569	467	243
570	490	149
571	352	432
572	342	409
573	491	458
574	303	461
575	492	473
576	205	247
577	268	169
578	163	348
579	355	298
580	328	134
581	322	111
582	402	109
583	175	354
584	307	308
585	365	339
586	321	200
587	123	382
588	356	401
589	163	321
590	157	174
591	144	112
592	267	104
593	360	456
594	406	325
595	226	398
596	345	199
597	290	162
598	267	483
599	342	161
600	333	252
601	294	166
602	266	112
603	242	259
604	394	191
605	164	322
606	166	390
607	179	212
608	383	264
609	235	392
610	246	202
611	120	328
612	465	395
613	135	133
614	479	125
615	324	154
616	303	431
617	333	313
618	244	158
619	254	382
620	500	110
621	488	379
622	147	239
623	499	158
624	490	440
625	324	240
626	360	335
627	459	302
628	373	294
629	460	464
630	451	138
631	291	200
632	297	152
633	297	143
634	133	139
635	459	276
636	271	174
637	208	158
638	499	330
639	371	401
640	211	317
641	121	460
642	150	494
643	482	335
644	112	317
645	342	117
646	414	147
647	311	392
648	352	229
649	122	165
650	244	283
651	162	193
652	192	336
653	400	162
654	394	376
655	416	301
656	318	140
657	426	323
658	473	208
659	349	424
660	466	242
661	101	334
662	256	178
663	168	353
664	160	208
665	353	495
666	280	233
667	425	343
668	260	448
669	344	120
670	470	108
671	269	492
672	282	194
673	476	229
674	447	415
675	133	422
676	227	209
677	161	455
678	464	227
679	496	232
680	484	107
681	328	217
682	410	150
683	110	217
684	317	318
685	241	277
686	424	306
687	362	119
688	329	389
689	382	117
690	379	399
691	125	418
692	394	235
693	403	274
694	367	331
695	391	214
696	252	248
697	470	455
698	431	309
699	434	419
700	480	271
701	424	383
702	303	305
703	192	202
704	395	341
705	472	384
706	379	442
707	429	411
708	436	215
709	434	470
710	479	337
711	345	116
712	173	389
713	263	330
714	241	386
715	411	189
716	471	202
717	263	381
718	300	431
719	297	282
720	382	356
721	315	495
722	275	169
723	259	490
724	283	435
725	347	351
726	142	173
727	463	289
728	431	155
729	352	231
730	407	465
731	409	233
732	245	338
733	388	400
734	242	109
735	332	373
736	111	114
737	270	498
738	434	193
739	143	305
740	403	176
741	381	488
742	470	221
743	389	223
744	499	378
745	316	374
746	423	123
747	189	445
748	325	496
749	189	442
750	386	496
751	438	214
752	183	255
753	314	244
754	276	261
755	220	255
756	378	430
757	283	259
758	184	188
759	133	449
760	239	121
761	163	268
762	291	438
763	266	138
764	228	237
765	234	172
766	310	388
767	321	226
768	124	455
769	181	297
770	497	297
771	237	352
772	391	297
773	369	290
774	367	471
775	190	135
776	311	222
777	314	283
778	177	471
779	145	374
780	195	333
781	378	409
782	305	251
783	423	158
784	250	414
785	399	144
786	178	353
787	448	407
788	400	303
789	285	188
790	495	432
791	165	399
792	272	116
793	488	108
794	188	272
795	280	382
796	223	316
797	374	308
798	472	341
799	395	239
800	415	139
801	224	120
802	414	250
803	215	303
804	223	204
805	270	385
806	185	372
807	300	499
808	389	378
809	288	124
810	231	371
811	116	493
812	395	139
813	185	263
814	307	117
815	472	434
816	471	329
817	482	215
818	422	127
819	306	374
820	114	494
821	115	477
822	240	395
823	294	142
824	336	147
825	291	459
826	389	176
827	242	362
828	106	340
829	397	484
830	401	171
831	148	194
832	419	452
833	496	187
834	162	283
835	494	280
836	247	412
837	226	463
838	186	182
839	227	285
840	407	269
841	433	158
842	180	466
843	237	499
844	201	291
845	327	491
846	227	244
847	150	306
848	268	132
849	330	185
850	256	327
851	452	387
852	292	456
853	386	484
854	318	464
855	389	436
856	413	120
857	489	448
858	332	389
859	223	292
860	399	162
861	236	306
862	437	143
863	107	450
864	387	238
865	325	255
866	404	420
867	359	438
868	297	183
869	211	262
870	240	184
871	397	455
872	295	150
873	269	499
874	245	156
875	108	137
876	422	178
877	442	140
878	450	373
879	330	443
880	362	456
881	329	358
882	300	222
883	393	336
884	469	124
885	121	243
886	312	181
887	421	459
888	423	107
889	300	491
890	365	240
891	140	465
892	430	378
893	126	180
894	149	446
895	483	400
896	349	178
897	242	484
898	253	341
899	332	220
900	253	190
901	393	432
902	388	150
903	110	422
904	404	173
905	210	379
906	242	267
907	354	464
908	349	470
909	252	485
910	473	105
911	356	178
912	132	287
913	245	467
914	303	272
915	454	239
916	313	178
917	325	134
918	261	116
919	417	274
920	386	201
921	419	354
922	309	415
923	116	112
924	500	191
925	169	165
926	103	252
927	340	136
928	275	237
929	340	297
930	237	449
931	131	431
932	210	383
933	297	194
934	204	406
935	316	110
936	463	244
937	319	211
938	139	108
939	182	303
940	329	170
941	330	285
942	266	357
943	401	378
944	180	438
945	385	140
946	109	387
947	135	300
948	183	300
949	334	137
950	416	118
951	432	488
952	182	388
953	168	413
954	422	414
955	440	271
956	441	478
957	295	441
958	417	388
959	355	112
960	239	338
961	233	448
962	459	127
963	232	492
964	233	242
965	365	205
966	159	493
967	362	426
968	147	287
969	273	452
970	222	138
971	156	318
972	323	491
973	454	256
974	438	427
975	237	299
976	492	205
977	364	170
978	222	189
979	482	172
980	495	240
981	188	300
982	208	384
983	102	315
984	122	398
985	272	118
986	356	419
987	333	242
988	181	446
989	225	168
990	128	391
991	382	405
992	179	215
993	223	277
994	360	407
995	234	103
996	124	253
997	325	219
998	184	229
999	367	109
1000	439	109
